condition,run_name,source_notebook,checkpoint_epoch,clinical_training_rows_used,clinical_training_groups_used,heldout_clinical_test_rows,heldout_clinical_test_groups,clinical_data_usage,clinical_test_used_for_selection,total_fit_minutes,private_checkpoint_saved,private_checkpoint_committed,private_image_level_metrics_saved,private_image_level_metrics_committed,contains_private_paths,contains_sample_hashes,contains_patient_hashes,model_name,encoder_name,strategy,components,best_epoch_by_public_validation_mean_foreground_dice,public_training_rows,clinical_training_rows,clinical_training_groups,clinical_rows_added_pre_augmentation,hybrid_base_train_rows,hybrid_virtual_train_rows,epochs_requested,learning_rate,weight_decay,device,device_name,private_best_checkpoint_saved,private_best_checkpoint_committed
zero_shot_notebook10_on_hybrid50_clinical_holdout,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,10_long_training_selected_public_model,24.0,0.0,0.0,38,10,heldout_clinical_test_only,False,0.0,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,
hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,,,,,38,10,,False,111.17719449003332,,,True,False,False,False,False,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,22.0,1911.0,21.0,10.0,True,1932.0,3864.0,25.0,0.0001,0.0001,cuda,NVIDIA RTX A6000,True,False
