phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,condition,run_name,strategy,components,clinical_rows_added_pre_augmentation,public_training_rows,clinical_training_rows,clinical_training_groups,hybrid_base_train_rows,hybrid_virtual_train_rows,public_validation_mean_foreground_dice,contains_private_paths,contains_sample_hashes,contains_patient_hashes
val,7,0.12939664172715154,0.8427174027784591,0.8079270344493763,0.06777496669702156,725,91,33.58339595799771,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8253222186139177,False,False,False
train,8,0.09657399664106577,0.8842556162063963,0.8331182799101862,0.05598060995471986,3864,483,224.61522470199998,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,8,0.12353971886223761,0.8543196310079462,0.8030669502615663,0.07658052542914635,725,91,33.13925020700117,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8286932906347562,False,False,False
train,9,0.09147206912160413,0.8879199200410253,0.8411845278643475,0.052778750504475884,3864,483,224.36547315700227,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,9,0.12296519549756214,0.8567224420800479,0.7965401718201757,0.06487435898538652,725,91,33.05134749499848,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8266313069501118,False,False,False
train,10,0.08500947051259301,0.8952559172708873,0.8515002708321519,0.050364779394041354,3864,483,244.76685711600294,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,10,0.1377959451798735,0.8470921805845177,0.7685838658565116,0.06959672032878345,725,91,33.07393006499842,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8078380232205147,False,False,False
train,11,0.07743299677659513,0.903437866563562,0.8680384938621535,0.043532038395105416,3864,483,223.4108044329987,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,11,0.11985104700614665,0.8601229145643003,0.8150680233703538,0.06597345032239135,725,91,33.461360502999014,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8375954689673271,False,False,False
train,12,0.0761122078582737,0.903519890058459,0.8728254028038271,0.04352012731241662,3864,483,246.18845944499844,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,12,0.12175474343628719,0.8526882944997459,0.8056862743277832,0.06994224895633838,725,91,33.5507579130026,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8291872844137645,False,False,False
train,13,0.06995655583144468,0.9114861301363671,0.8835459129202756,0.039783390563751055,3864,483,241.47972246599966,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,13,0.1314542080616129,0.8618835803370847,0.7822576347447969,0.07291942241399958,725,91,32.93834806800078,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8220706075409407,False,False,False
train,14,0.06710714114131888,0.9139789841619255,0.8866378961770107,0.0376829391345122,3864,483,243.60947214300177,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,14,0.12873429477214812,0.8635301299361142,0.7910567690714525,0.07129770879637376,725,91,34.136394305001886,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8272934495037834,False,False,False
train,15,0.061813796151190314,0.9193271663950912,0.8965915085539101,0.034515260407739314,3864,483,224.776317777003,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,15,0.12838691125655996,0.8575745871191816,0.7991543047074845,0.0667732853425817,725,91,33.53278167099779,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.828364445913333,False,False,False
train,16,0.05715539800022453,0.9245237005266086,0.9061234081047094,0.032176623311239244,3864,483,225.35596887300198,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,16,0.12413699937277826,0.8571673576612798,0.8106707521654747,0.0640964097952391,725,91,33.95880687800309,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8339190549133773,False,False,False
train,17,0.05371938493897209,0.9287099463410848,0.9117369623362918,0.031004178584747417,3864,483,226.25502614799916,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
val,17,0.12970603219394025,0.8546989862314309,0.7919628622660668,0.06678901118957545,725,91,33.916180692001944,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,0.8233309242487489,False,False,False
train,18,0.05141012521757596,0.931517821700391,0.9173420060888221,0.028490150333155967,3864,483,223.48703071199998,,hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,True,1911,21,10,1932,3864,,False,False,False
