condition,train_fraction,run_name,model_name,encoder_name,source_strategy_name,component_strategies,source_checkpoint_epoch,best_epoch_by_clinical_validation_mean_foreground_dice,clinical_training_rows_used,clinical_training_groups_used,clinical_validation_rows_used,clinical_validation_groups_used,heldout_test_rows,heldout_test_groups,epochs_requested,learning_rate,weight_decay,total_fit_minutes,device,device_name,clinical_data_usage,private_best_checkpoint_saved,private_best_checkpoint_committed,private_image_level_metrics_saved,private_image_level_metrics_committed,contains_private_paths,contains_sample_hashes,contains_patient_hashes
zero_shot_notebook_10_on_clinical_test,0.0,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,,0,0,0,0,19,5,0,,,0.0,cuda,NVIDIA RTX A6000,heldout_test_evaluation_only,False,False,True,False,False,False,False
clinical_adapt_25pct,0.25,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,7.0,16,3,4,3,19,5,25,3e-05,0.0001,0.6098731664999529,cuda,NVIDIA RTX A6000,clinical_domain_adaptation,True,False,True,False,False,False,False
clinical_adapt_50pct,0.5,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,9.0,22,6,4,3,19,5,25,3e-05,0.0001,0.7351375949333184,cuda,NVIDIA RTX A6000,clinical_domain_adaptation,True,False,True,False,False,False,False
clinical_adapt_75pct,0.75,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,18.0,27,9,4,3,19,5,25,3e-05,0.0001,0.8112294073000157,cuda,NVIDIA RTX A6000,clinical_domain_adaptation,True,False,True,False,False,False,False
