phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
val,3,0.2241586746224041,0.7436726684067061,0.6817602848173504,0.120214877610011,725,91,26.14925746701192,,combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7127164766120282
train,4,0.1437460185500853,0.8469947881565849,0.7630297175240786,0.0815846118985538,3822,478,168.49779352301266,,combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,4,0.145401329953095,0.8433719290165477,0.7822772861341256,0.0700373442474381,725,91,26.694722527987324,,combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8128246075753367
train,5,0.1290834168842611,0.858307128629232,0.7815206035519143,0.0742807013512837,3822,478,168.29482830298366,,combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,5,0.1465700017378248,0.8390551043817897,0.7795970082249465,0.0691881378157158,725,91,25.679019022965804,,combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8093260563033681
train,1,0.997009144005259,0.5472254288834917,0.4980641450849099,0.2816549919391629,3822,478,163.56861227599438,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,1,0.6383299330596266,0.3447519383201315,0.3778791754945327,0.1996563094549034,725,91,24.35614514100598,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.3613155569073321
train,2,0.3113846221811044,0.7772999816574703,0.6888373962505778,0.1075135695259458,3822,478,163.05681531503797,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,2,0.2300519590542234,0.7680896436251672,0.7129624443075464,0.1203381814055201,725,91,25.07571975601604,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.7405260439663568
train,3,0.1723279974446254,0.8287988316716639,0.741178275783584,0.0885958527372591,3822,478,164.8300452659605,,combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
