phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,condition,train_fraction,model_name,encoder_name,source_strategy_name,component_strategies,source_checkpoint_epoch,image_size,batch_size,learning_rate,weight_decay,clinical_training_rows_used,clinical_training_groups_used,clinical_validation_rows_used,clinical_validation_groups_used,clinical_validation_mean_foreground_dice
val,9,0.3896133005619049,0.236927734781807,0.4274390428126366,0.143634054117925,4,1,0.4448232670001744,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3321833887972218
train,10,0.0858854902908206,0.7244395732173027,0.8174595848232299,0.060496190555141,16,4,0.7682786660006968,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,10,0.4036712050437927,0.2269409243956262,0.4029399989903481,0.1485180590019299,4,1,0.4264303169984487,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3149404616929872
train,11,0.0672377301380038,0.7286687455435976,0.8284808598965198,0.0547790742486417,16,4,0.638146807999874,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,11,0.4199894070625305,0.2169650365606004,0.3772076978147538,0.1636415157920534,4,1,0.4296969030001492,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2970863671876771
train,12,0.0629335502162575,0.729234094784385,0.8343217425554782,0.0464954043013336,16,4,0.6342642249983328,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,12,0.4289699494838714,0.1977830772295647,0.378936068600467,0.1312753982810083,4,1,0.4222505860016099,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2883595729150159
train,13,0.0706852907314896,0.711657850997778,0.8344944768160373,0.0940799755715665,16,4,0.6586446369983605,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,13,0.4269521236419678,0.1882331651642972,0.3872445478186463,0.2984565487107563,4,1,0.4175275870002224,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2877388564914718
train,14,0.0560373626649379,0.7458106857321918,0.8425932616501838,0.0503359443324282,16,4,0.7511160419999214,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,14,0.4466817080974579,0.1694099270746165,0.3625477640688928,0.1618824723663433,4,1,0.425868790000095,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2659788455717546
train,15,0.0672251107171177,0.7300462134102552,0.8450395592063457,0.0573973857420988,16,4,0.6313008369979798,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,15,0.4742232859134674,0.1615582593724185,0.3155632479846986,0.2301419906258615,4,1,0.4559783969998534,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2385607536785585
train,16,0.0525329848751425,0.7230939040256426,0.8489338212221652,0.0466395355591176,16,4,0.6574196130022756,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,16,0.4662159085273742,0.1623516665779107,0.3307606219113381,0.1634753239591948,4,1,0.4204307540021545,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2465561442446244
train,17,0.0578641365282237,0.7307933912169263,0.8467232749372512,0.0477039785495942,16,4,0.7337617880002654,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,17,0.4571208655834198,0.1518170685514861,0.3546743108690293,0.1344678579952072,4,1,0.4208737920016574,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2532456897102577
train,18,0.0586193217895925,0.743814013252756,0.8426541962235957,0.0682243216575261,16,4,0.747442437997961,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,18,0.4332347214221954,0.1702743248090201,0.3983047608316141,0.3015334717876793,4,1,0.418371133000619,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2842895428203171
train,19,0.0516058122739195,0.7383889222929947,0.8455401674419433,0.0469251931852684,16,4,0.7693247909992351,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,19,0.4205224514007568,0.1809113753035718,0.4195252958715159,0.3005231596360628,4,1,0.4306694189981499,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3002183355875438
train,20,0.0494725313037633,0.7386321844901629,0.8495251402765304,0.0432671886197198,16,4,0.6736122219990648,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,20,0.4236828982830047,0.1774815359160357,0.4112114015996653,0.2919180871722947,4,1,0.4139500520032015,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2943464687578505
train,21,0.0465744445100426,0.7593488507876172,0.8504182115703612,0.0857732142922289,16,4,0.734725943999365,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,21,0.4293177723884582,0.177273919899767,0.3983905889904875,0.2919180871722947,4,1,0.4672596580021491,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2878322544451273
train,22,0.0531889856792986,0.7691021347216049,0.8441604503005534,0.0839390848180438,16,4,0.6971322580029664,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,22,0.4125914275646209,0.1978181135848218,0.4141752202093798,0.316677005789909,4,1,0.4196399380016373,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3059966668971008
train,23,0.0571025190874934,0.7728428618471093,0.8474387169390708,0.0942625421778926,16,4,0.6649279000012029,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,23,0.4093482196331024,0.1959168446257764,0.4212964465032138,0.2937959516588548,4,1,0.4236375690015848,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3086066455644951
train,24,0.0519070313312113,0.7892320876505876,0.8528440572827846,0.0887132847090106,16,4,0.7204305760023999,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,24,0.4159986078739166,0.1863760706976109,0.4125566392651905,0.3227311368440401,4,1,0.4136249030016188,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.2994663549814007
train,25,0.0540307285264134,0.7847504050967002,0.8531073570757896,0.0847068591799466,16,4,0.7234764929999074,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,
val,25,0.4082537591457367,0.1972324569717103,0.417173122695722,0.3123144701773733,4,1,0.4231070319983701,,clinical_adapt_25pct,0.25,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,16,3,4,3,0.3072027898337162
train,1,0.4296931082552129,0.3810998911148882,0.4171415082090238,0.3381868549893398,22,6,1.426330136000615,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,1,0.4938585758209228,0.1578450231333971,0.290783213627422,0.4380712365591398,4,1,0.4181457539998519,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.2243141183804095
train,2,0.2948209318247708,0.468033998277505,0.4703079775583363,0.3146016787400646,22,6,1.0068779590001211,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,2,0.4728820025920868,0.1772697914180797,0.2812265410247082,0.2900681416430123,4,1,0.4117399320020922,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.229248166221394
train,3,0.228085309267044,0.5006533303256,0.5248225432290238,0.2538686372379191,22,6,0.9420763529997204,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,3,0.5008643865585327,0.1489061372520184,0.2123077833461242,0.3218666626243027,4,1,0.4143114309990778,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.1806069602990713
train,4,0.2457217465747486,0.5143539306824544,0.5732620606081509,0.1338641785164676,22,6,0.9752696870018552,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,4,0.4356785118579864,0.1818850227639132,0.3467400013268502,0.1390472828644871,4,1,0.4266193570001633,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.2643125120453817
train,5,0.158403916792436,0.5469106093695153,0.6470047503423063,0.0796538814848911,22,6,1.002296247999766,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,5,0.4260216355323791,0.1838403549984151,0.3582280589998277,0.1032616487455197,4,1,0.4150249179983802,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.2710342069991214
train,6,0.1503122042525898,0.5723419895922561,0.6458452061443215,0.164704706716241,22,6,1.0635231859996566,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,6,0.3803925812244415,0.2184556779459172,0.4284478141725572,0.1004838709677419,4,1,0.4241451950001647,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.3234517460592372
train,7,0.1217114613814787,0.6039021836772251,0.6676684407140528,0.0776222737489274,22,6,1.1557146849991111,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,7,0.3758101165294647,0.2279602418053459,0.4361064164981698,0.0950652841781873,4,1,0.4206789310010208,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.3320333291517578
train,8,0.1473559683019464,0.633618372044941,0.6524310385619186,0.1077186088126105,22,6,1.005278508997435,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,8,0.318755179643631,0.3848413005471229,0.4948515505969584,0.2778855276601956,4,1,0.4138022000006458,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.4398464255720407
train,9,0.1151843822815201,0.6610058051769768,0.6964167314471583,0.1060450514935021,22,6,1.004172594002739,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,9,0.3140459358692169,0.4264645054936409,0.5134450838720843,0.2785351907084387,4,1,0.4331022570004279,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.4699547946828626
train,10,0.1037961549379608,0.6550428265441237,0.7086940702780183,0.0910446508510751,22,6,1.0094852409965824,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,10,0.348853588104248,0.3455001525580883,0.4635313664404306,0.2902530131159163,4,1,0.4223753540027246,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.4045157594992594
train,11,0.1258559342135082,0.6642144750310724,0.7207298706233779,0.0915374792872966,22,6,1.1110121090023313,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,11,0.3445211052894592,0.3267317712306976,0.4807090683795145,0.3058265623736761,4,1,0.4225519929968868,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.4037204198051061
train,12,0.0899248123168945,0.6488871637739452,0.7283977483874473,0.1050697191081732,22,6,0.9991776550014038,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
val,12,0.3713306188583374,0.263482017442584,0.4530093443296703,0.2887432290403428,4,1,0.4295570120011689,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,0.3582456808861272
train,13,0.075218303637071,0.7037148255619048,0.7294956738223658,0.0636845797548951,22,6,1.0238816080018296,,clinical_adapt_50pct,0.5,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,24,"(256, 256)",4,3e-05,0.0001,22,6,4,3,
