condition,run_name,model_name,encoder_name,strategy,checkpoint_epoch,clinical_training_rows_used,clinical_training_groups_used,heldout_clinical_test_rows,heldout_clinical_test_groups,clinical_data_usage,clinical_patient_groups,patient_files_mean,patient_files_median,patient_files_min,patient_files_max,patient_weighted_disc_dice_mean,patient_weighted_disc_dice_median,patient_weighted_disc_dice_std,patient_weighted_disc_dice_min,patient_weighted_disc_dice_max,patient_weighted_cup_dice_mean,patient_weighted_cup_dice_median,patient_weighted_cup_dice_std,patient_weighted_cup_dice_min,patient_weighted_cup_dice_max,patient_weighted_mean_foreground_dice_mean,patient_weighted_mean_foreground_dice_median,patient_weighted_mean_foreground_dice_std,patient_weighted_mean_foreground_dice_min,patient_weighted_mean_foreground_dice_max,patient_weighted_cdr_abs_error_mean,patient_weighted_cdr_abs_error_median,patient_weighted_cdr_abs_error_std,patient_weighted_cdr_abs_error_min,patient_weighted_cdr_abs_error_max,clinical_test_used_for_selection,private_image_level_metrics_committed,contains_private_paths,contains_sample_hashes,contains_patient_hashes
zero_shot_notebook10_on_hybrid50_clinical_holdout,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,24,0,0,38,10,heldout_clinical_test_only,10,3.8,2.5,1,10,0.3202066418556988,0.2066425278965089,0.3392256153826099,0.0,0.8562190453331014,0.2094161256936225,0.1793537466781766,0.209423379297527,0.0,0.6185028207734078,0.2648113837746607,0.1929981372873428,0.268434697167131,0.0,0.7370452687198096,0.3850189105311422,0.3578769349121472,0.2275871666246862,0.0749999999999999,0.8511029411764706,False,False,False,False,False
hybrid_public_plus_50pct_clinical_preaugmentation,hybrid_unetplusplus_resnet18_combo_affine_vignette_blur_public_plus_50pct_clinical_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,22,21,10,38,10,hybrid_public_plus_clinical_training,10,3.8,2.5,1,10,0.34266711545711803,0.32431284716603126,0.27853201719727044,0.0,0.8393094289508632,0.3174466489862841,0.2840679697092662,0.24809145674418612,0.0,0.7526076803321224,0.33005688222170104,0.3041904084376487,0.2586440842117121,0.0,0.7428486308252416,0.26274493533152476,0.20833333333333334,0.19125932448168637,0.07404692082111441,0.7488207547169812,False,False,False,False,False
