phase,epoch,loss,disc_dice,cup_dice,cdr_mae,n_images,n_batches,elapsed_seconds,max_batches,run_name,model_name,encoder_name,strategy_name,component_strategies,augmentation_mode,synthetic_copy_count,image_size,batch_size,learning_rate,weight_decay,val_mean_foreground_dice
train,19,0.04918509606156968,0.9377890304783637,0.9178357687234083,0.027098235524195317,3822,478,168.22374895296525,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,19,0.12752785147264087,0.8587685398418446,0.796615757673738,0.06499982809117427,725,91,25.882245076994877,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8276921487577913
train,20,0.047501304830667675,0.939269696036822,0.9232964030231507,0.026784586523991086,3822,478,170.52125158294803,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,20,0.12973411358636,0.8485022628352688,0.8041560063919313,0.07199229775536979,725,91,25.449471367988735,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8263291346136
train,21,0.04423462274941956,0.943202310160155,0.9304030673292765,0.02413680117649899,3822,478,169.87639427400427,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,21,0.12433822327646715,0.8577742539419406,0.8088340560834623,0.06611478405171485,725,91,25.543303104001097,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8333041550127014
train,22,0.04252424863840135,0.9463390017650566,0.9321921226193882,0.023255670544930412,3822,478,169.09244787198259,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,22,0.12642669107379584,0.8640937043284761,0.8077547033464519,0.06391946160054354,725,91,25.98129978805082,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.835924203837464
train,23,0.04108740772792708,0.9481543678067106,0.9343876771794686,0.023325480630952113,3822,478,170.41991286998382,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,23,0.12856071655092569,0.8537727327204393,0.8133106495592657,0.06451839147184284,725,91,25.800269950996153,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8335416911398525
train,24,0.03928886507386815,0.9499417555263565,0.9381744659415909,0.0218440572947318,3822,478,169.91294670500793,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,24,0.12636633727057225,0.8603351258842401,0.8165286406071285,0.0619716689679666,725,91,25.411141319025774,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8384318832456843
train,25,0.03854840222506358,0.9517224359690114,0.9380246565567705,0.02196487886490556,3822,478,169.15314137202222,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,
val,25,0.12848820766498303,0.8663473045024127,0.8059031632642432,0.06298933971060444,725,91,25.961670857970603,,long_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_25epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,virtual_synthetic_add_back,1,"(256, 256)",8,0.0001,0.0001,0.8361252338833279
