candidate_priority,final_run_name,source_validation_run_name,model_name,encoder_name,encoder_weights,strategy_name,augmentation_mode,synthetic_copy_count,candidate_role,selection_rationale,validation_best_epoch,validation_loss,validation_disc_dice,validation_cup_dice,validation_mean_foreground_dice,validation_cdr_mae,online_reference_mean_foreground_dice,delta_vs_online_reference,materializes_synthetic_files,selected_for_public_test_evaluation
1,final_unetplusplus_resnet18_small_affine_virtual_synthetic_256px_5epoch,synthetic_unetplusplus_resnet18_small_affine_256px_5epoch,unetplusplus,resnet18,none,small_affine,virtual_synthetic_add_back,1,primary_public_test_finalist,Best validation mean foreground Dice from the virtual synthetic expansion experiment.,5,0.1326613044327703,0.84748257786263,0.7908645769339854,0.8191735773983078,0.0628628350608662,0.8115610789241559,0.0076124984741519,False,True
2,final_unet_resnet18_vignette_virtual_synthetic_256px_5epoch,synthetic_unet_resnet18_vignette_illumination_256px_5epoch,unet,resnet18,none,vignette_illumination,virtual_synthetic_add_back,1,strong_clinical_proxy_alternate,Strong validation Dice with a degradation pattern that is plausible for head-mounted ophthalmoscopy.,4,0.1377660476544807,0.8497779819402942,0.7804820010006635,0.8151299914704788,0.0696791324960066,0.8038031342283694,0.0113268572421094,False,True
