metric,higher_is_better,notebook08_image_weighted,notebook11_image_weighted,image_weighted_delta_notebook11_minus_notebook08,image_weighted_improvement_directional,image_weighted_improved,notebook08_patient_weighted,notebook11_patient_weighted,patient_weighted_delta_notebook11_minus_notebook08,patient_weighted_improvement_directional,patient_weighted_improved
disc_dice_mean,True,0.3776856432083061,0.4595686310908635,0.08188298788255738,0.08188298788255738,True,0.267401553524682,0.2934031167712939,0.026001563246611903,0.026001563246611903,True
cup_dice_mean,True,0.257740291796483,0.3166863599647546,0.05894606816827158,0.05894606816827158,True,0.2166315092197854,0.208354112324406,-0.008277396895379402,-0.008277396895379402,False
mean_foreground_dice_mean,True,0.3177129675023946,0.3881274955278091,0.07041452802541454,0.07041452802541454,True,0.2420165313722337,0.25087861454785,0.008862083175616292,0.008862083175616292,True
cdr_abs_error_mean,False,0.2900720941162873,0.3085591155514958,0.018487021435208473,-0.018487021435208473,False,0.2833525931221289,0.383213116845841,0.09986052372371207,-0.09986052372371207,False
