run_name,augmentation_strategy,model,encoder,encoder_weights,run_elapsed_minutes,history_elapsed_minutes,peak_gpu_memory_mb
online_aug_unetplusplus_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,unetplusplus,resnet18,,16.150830328037653,16.1500008555362,2173.8447265625
online_aug_unetplusplus_resnet18_small_affine_256px_5epoch,small_affine,unetplusplus,resnet18,,16.518025025120004,16.51715191998519,2173.8447265625
online_aug_unetplusplus_resnet18_global_photometric_256px_5epoch,global_photometric,unetplusplus,resnet18,,16.7032260957174,16.702379030998177,2173.8447265625
online_aug_unetplusplus_resnet18_defocus_blur_256px_5epoch,defocus_blur,unetplusplus,resnet18,,9.01366725625315,9.012961951092196,9723.88916015625
online_aug_unetplusplus_resnet18_low_resolution_256px_5epoch,low_resolution,unetplusplus,resnet18,,8.749658369746369,8.748947983297208,1909.51708984375
online_aug_unetplusplus_resnet18_jpeg_compression_256px_5epoch,jpeg_compression,unetplusplus,resnet18,,8.58701993972839,8.586343836784362,1909.51708984375
online_aug_unetplusplus_resnet18_vignette_illumination_256px_5epoch,vignette_illumination,unetplusplus,resnet18,,8.67102708813424,8.670309046555,1909.51708984375
online_aug_unet_resnet18_horizontal_flip_256px_5epoch,horizontal_flip,unet,resnet18,,8.421341787061344,8.420791673947436,2671.00927734375
online_aug_unet_resnet18_small_affine_256px_5epoch,small_affine,unet,resnet18,,8.67412475508172,8.67351253509987,889.95849609375
online_aug_unet_resnet18_global_photometric_256px_5epoch,global_photometric,unet,resnet18,,8.555938948318362,8.555372737790458,889.95849609375
online_aug_unet_resnet18_defocus_blur_256px_5epoch,defocus_blur,unet,resnet18,,8.373731511280251,8.373183484041753,889.95849609375
online_aug_unet_resnet18_low_resolution_256px_5epoch,low_resolution,unet,resnet18,,8.406006748299115,8.405466785219808,889.95849609375
online_aug_unet_resnet18_jpeg_compression_256px_5epoch,jpeg_compression,unet,resnet18,,8.372393095415706,8.371756979147904,889.95849609375
online_aug_unet_resnet18_vignette_illumination_256px_5epoch,vignette_illumination,unet,resnet18,,8.312296451581641,8.311754418971638,889.95849609375
