notebook,condition,training_regime,public_test_mean_foreground_dice,public_test_cdr_mae,clinical_patient_weighted_mean_foreground_dice,clinical_patient_weighted_cdr_abs_error,clinical_comparison_scope,interpretation
10,long_public_model,public only,0.8421364225096368,0.06298489215029,,,not evaluated in Notebook 10,Strong public test performance before clinical evaluation.
11,long_public_model_clinical_generalization,public only,0.8421364225096368,0.06298489215029,0.25087861454785,0.383213116845841,same clinical split as Notebook 08,Longer public training improved public metrics but clinical transfer remained weak.
13,hybrid_public_plus_50pct_clinical_preaugmentation,public plus 50% clinical patient groups before augmentation,0.8439296368467932,0.0632070527025289,0.330056882221701,0.2627449353315247,within Notebook 13 same held-out clinical split,Hybrid pre-augmentation training preserved public performance and improved held-out patient-weighted clinical metrics relative to the internal zero-shot baseline.
