run_name,model_name,encoder_name,strategy_name,component_strategies,base_rows,original_rows_exposed,synthetic_rows_exposed,total_rows_exposed,base_seed,include_original,strategies,copy_counts,validation_rows,test_rows_available_but_not_used_for_screening,materializes_synthetic_files
combined_unetplusplus_resnet18_combo_small_affine_photometric_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_photometric,small_affine;global_photometric,1911,1911,1911,3822,42,True,combo_small_affine_photometric,1,725,722,False
combined_unetplusplus_resnet18_combo_small_affine_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_blur,small_affine;defocus_blur,1911,1911,1911,3822,42,True,combo_small_affine_blur,1,725,722,False
combined_unetplusplus_resnet18_combo_small_affine_vignette_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_small_affine_vignette,small_affine;vignette_illumination,1911,1911,1911,3822,42,True,combo_small_affine_vignette,1,725,722,False
combined_unetplusplus_resnet18_combo_affine_photometric_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_photometric_blur,small_affine;global_photometric;defocus_blur,1911,1911,1911,3822,42,True,combo_affine_photometric_blur,1,725,722,False
combined_unetplusplus_resnet18_combo_affine_vignette_blur_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_affine_vignette_blur,small_affine;vignette_illumination;defocus_blur,1911,1911,1911,3822,42,True,combo_affine_vignette_blur,1,725,722,False
combined_unetplusplus_resnet18_combo_full_robustness_virtual_synthetic_256px_5epoch,unetplusplus,resnet18,combo_full_robustness,small_affine;global_photometric;defocus_blur;low_resolution;jpeg_compression;vignette_illumination,1911,1911,1911,3822,42,True,combo_full_robustness,1,725,722,False
