relative_path,file_name,extension,size_mb,keyword_hits,artifact_type
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Glare/.ipynb_checkpoints/glare_012-checkpoint.jpg,glare_012-checkpoint.jpg,.jpg,0.258072,2,mask_label_prediction_image
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Glare/.ipynb_checkpoints/glare_335-checkpoint.jpg,glare_335-checkpoint.jpg,.jpg,0.236712,2,mask_label_prediction_image
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Glare/.ipynb_checkpoints/glare_055-checkpoint.jpg,glare_055-checkpoint.jpg,.jpg,0.234806,2,mask_label_prediction_image
extracted_zips/rivanna_train_discview/rivanna_train_discview/compare_trained_models_clean.py,compare_trained_models_clean.py,.py,0.007005,2,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/clinic_dataset_model_comparison.png,clinic_dataset_model_comparison.png,.png,0.402631,1,mask_label_prediction_image
extracted_zips/rivanna_train_discview/rivanna_train_discview/Interactive - test_trained_model.py.ipynb,Interactive - test_trained_model.py.ipynb,.ipynb,0.167791,1,code_or_config
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/train_unet.py,train_unet.py,.py,0.02754,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/train_unet.py,train_unet.py,.py,0.02754,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/clinic_dataset_model_comparison.csv,clinic_dataset_model_comparison.csv,.csv,0.022923,1,metadata_or_annotation
extracted_zips/rivanna_train_discview/rivanna_train_discview/__pycache__/train_unet.cpython-310.pyc,train_unet.cpython-310.pyc,.pyc,0.011877,1,other
extracted_zips/Tien_DiscView/Segmentation_Model/Segmentation_Model/model_training_brainstorming.docx,model_training_brainstorming.docx,.docx,0.011416,1,document_or_log
extracted_zips/rivanna_train_discview/rivanna_train_discview/test_trained_model.py,test_trained_model.py,.py,0.008607,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/__pycache__/unet.cpython-310.pyc,unet.cpython-310.pyc,.pyc,0.003926,1,other
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/unet.py,unet.py,.py,0.003887,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/unet.py,unet.py,.py,0.003887,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/optuna_train_unet.sh,optuna_train_unet.sh,.sh,0.001335,1,code_or_config
extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/optuna_train_unet.sh,optuna_train_unet.sh,.sh,0.001255,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/training_logs_15_4/tensorboard/version_0/events.out.tfevents.1757365751.DESKTOP-8C8AC91.22424.0,events.out.tfevents.1757365751.DESKTOP-8C8AC91.22424.0,.0,0.001062,1,other
extracted_zips/rivanna_train_discview/rivanna_train_discview/train_unet_windows.bat,train_unet_windows.bat,.bat,0.001008,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/training_logs_15_4/csv/version_0/metrics.csv,metrics.csv,.csv,0.000338,1,metadata_or_annotation
extracted_zips/rivanna_train_discview/rivanna_train_discview/training_logs_15_4/csv/version_0/hparams.yaml,hparams.yaml,.yaml,1e-05,1,code_or_config
extracted_zips/rivanna_train_discview/rivanna_train_discview/training_logs_15_4/tensorboard/version_0/hparams.yaml,hparams.yaml,.yaml,1e-05,1,code_or_config
